Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1990","1990","kg/ha","11653.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1991","1991","kg/ha","10193.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1992","1992","kg/ha","10593.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1993","1993","kg/ha","10593.5","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1994","1994","kg/ha","10592.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1995","1995","kg/ha","10667.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1996","1996","kg/ha","10664.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1997","1997","kg/ha","11881.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1998","1998","kg/ha","10746.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1999","1999","kg/ha","9599.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2000","2000","kg/ha","9700","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2001","2001","kg/ha","9601.2","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2002","2002","kg/ha","9901.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2003","2003","kg/ha","10402.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2004","2004","kg/ha","11001.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2005","2005","kg/ha","10990.2","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2006","2006","kg/ha","12000.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2007","2007","kg/ha","11202.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2008","2008","kg/ha","11800.4","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2009","2009","kg/ha","11767.9","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2010","2010","kg/ha","12215.5","A","Official figure",""
