Region,Crop,Year,Month,Temperature_C,Rainfall_mm,Humidity_percent,CO2_ppm,Avg_pH,Avg_Nitrogen_ppm,Avg_Phosphorus_ppm,Avg_Organic_Matter_Percent,Yield_kg_per_ha,GDD,Cumulative_Rainfall,Days_Into_Season,pH_Temperature_Interaction,Nitrogen_Rainfall_Interaction,Is_Rainy_Season,Is_Peak_Growing,Heat_Stress,Cold_Stress,Rainfall_Anomaly,Drought_Risk,Flood_Risk,Yield_Lag_1,Yield_Lag_2,Yield_Lag_3,Yield_MA_3yr,Temp_MA_3yr,Rain_MA_3yr,Yield_YoY_Change,Temp_YoY_Change,Rain_YoY_Change,Yield_Volatility_3yr
North East,Maize,2018,9,24.545277777777777,293.525,48.547222222222224,408.715,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.32366507856703935,14.545277777777777,1627.495797784724,150,158.7261296296296,15096.969166666666,1,0,0,0,-0.014532924370340095,0,0,1.9112888179777014,1.7288625595344729,1.5937692353513495,1.8607139496381369,27.624629629629627,2305.6,0.03070165342453457,-0.18944444444445452,231.19999999999982,0.11521388668451482
North East,Maize,2018,10,24.94720156642446,280.4167022152758,48.547222222222224,408.715,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.0,0.0,1907.9125,180,161.3252367962115,14422.765717272352,0,0,0,0,-0.014532924370267247,0,0,1.9112888179777014,1.7288625595344729,1.5937692353513495,1.8607139496381369,27.624629629629627,2305.6,0.03070165342453457,-0.18944444444445452,231.19999999999982,0.11521388668451482
North East,Maize,2018,11,26.045277777777777,244.60416666666663,48.547222222222224,408.715,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.0,0.0,2152.5166666666664,210,168.4261296296296,12580.807638888888,0,0,0,0,-0.014532924370028759,0,0,1.9112888179777014,1.7288625595344729,1.5937692353513495,1.8607139496381369,27.624629629629627,2305.6,0.03070165342453457,-0.18944444444445452,231.19999999999982,0.11521388668451482
North East,Maize,2018,12,27.545277777777777,195.6833333333333,48.547222222222224,408.715,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.0,0.0,2348.2,240,178.12612962962962,10064.646111111111,0,0,0,0,-0.014532924369561762,0,0,1.9112888179777014,1.7288625595344729,1.5937692353513495,1.8607139496381369,27.624629629629627,2305.6,0.03070165342453457,-0.18944444444445452,231.19999999999982,0.11521388668451482
North East,Maize,2019,1,29.268055555555556,150.14375,48.90277777777778,411.64916666666664,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.0,0.0,150.14375,0,189.26675925925923,7722.393541666668,0,0,0,0,0.05795862000473684,0,0,1.941990471402236,1.9112888179777014,1.7288625595344729,1.921317322562197,27.68268518518519,2289.1666666666665,-0.031317793095582136,0.22277777777778596,54.100000000000364,0.01790612239560137
North East,Maize,2019,2,30.36613176690887,113.5061321870268,48.90277777777778,411.64916666666664,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.0,0.0,263.64988218702683,0,196.36765209267736,5837.998732152745,0,0,0,0,0.05795862000072607,0,0,1.941990471402236,1.9112888179777014,1.7288625595344729,1.921317322562197,27.68268518518519,2289.1666666666665,-0.031317793095582136,0.22277777777778596,54.100000000000364,0.01790612239560137
North East,Maize,2019,3,30.768055555555556,100.09583333333335,48.90277777777778,411.64916666666664,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.0,0.0,363.74571552036014,0,198.96675925925925,5148.262361111112,0,0,0,0,0.05795861999852357,0,0,1.941990471402236,1.9112888179777014,1.7288625595344729,1.921317322562197,27.68268518518519,2289.1666666666665,-0.031317793095582136,0.22277777777778596,54.100000000000364,0.01790612239560137
North East,Maize,2019,4,30.36613176690887,113.50613218702681,48.90277777777778,411.64916666666664,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.31844544638444233,20.36613176690887,477.25184770738696,0,196.36765209267736,5837.998732152746,1,0,0,0,0.05795862000072566,0,0,1.941990471402236,1.9112888179777014,1.7288625595344729,1.921317322562197,27.68268518518519,2289.1666666666665,-0.031317793095582136,0.22277777777778596,54.100000000000364,0.01790612239560137
North East,Maize,2019,5,29.268055555555556,150.14375,48.90277777777778,411.64916666666664,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.31844544638444233,19.268055555555556,627.395597707387,30,189.26675925925923,7722.393541666668,1,1,0,0,0.05795862000473684,0,0,1.941990471402236,1.9112888179777014,1.7288625595344729,1.921317322562197,27.68268518518519,2289.1666666666665,-0.031317793095582136,0.22277777777778596,54.100000000000364,0.01790612239560137
North East,Maize,2019,6,27.768055555555556,200.1916666666667,48.90277777777778,411.64916666666664,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.31844544638444233,17.768055555555556,827.5872643740537,60,179.56675925925924,10296.524722222224,1,1,0,0,0.057958620007843006,0,0,1.941990471402236,1.9112888179777014,1.7288625595344729,1.921317322562197,27.68268518518519,2289.1666666666665,-0.031317793095582136,0.22277777777778596,54.100000000000364,0.01790612239560137
North East,Maize,2019,7,26.268055555555556,250.23958333333337,48.90277777777778,411.64916666666664,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.31844544638444233,16.268055555555556,1077.826847707387,90,169.86675925925925,12870.65590277778,1,1,0,0,0.05795862000970743,0,0,1.941990471402236,1.9112888179777014,1.7288625595344729,1.921317322562197,27.68268518518519,2289.1666666666665,-0.031317793095582136,0.22277777777778596,54.100000000000364,0.01790612239560137
North East,Maize,2019,8,25.16997934420224,286.87720114630656,48.90277777777778,411.64916666666664,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.31844544638444233,15.16997934420224,1364.7040488536936,120,162.76586642584112,14755.050712291702,1,0,0,0,0.057958620010659066,0,0,1.941990471402236,1.9112888179777014,1.7288625595344729,1.921317322562197,27.68268518518519,2289.1666666666665,-0.031317793095582136,0.22277777777778596,54.100000000000364,0.01790612239560137
North East,Maize,2019,9,24.768055555555556,300.2875,48.90277777777778,411.64916666666664,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.31844544638444233,14.768055555555556,1664.9915488536935,150,160.16675925925924,15444.787083333336,1,0,0,0,0.0579586200109498,0,0,1.941990471402236,1.9112888179777014,1.7288625595344729,1.921317322562197,27.68268518518519,2289.1666666666665,-0.031317793095582136,0.22277777777778596,54.100000000000364,0.01790612239560137
North East,Maize,2019,10,25.16997934420224,286.8772011463066,48.90277777777778,411.64916666666664,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.0,0.0,1951.8687500000003,180,162.76586642584112,14755.050712291704,0,0,0,0,0.057958620010659705,0,0,1.941990471402236,1.9112888179777014,1.7288625595344729,1.921317322562197,27.68268518518519,2289.1666666666665,-0.031317793095582136,0.22277777777778596,54.100000000000364,0.01790612239560137
North East,Maize,2019,11,26.268055555555556,250.23958333333337,48.90277777777778,411.64916666666664,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.0,0.0,2202.1083333333336,210,169.86675925925925,12870.65590277778,0,0,0,0,0.05795862000970743,0,0,1.941990471402236,1.9112888179777014,1.7288625595344729,1.921317322562197,27.68268518518519,2289.1666666666665,-0.031317793095582136,0.22277777777778596,54.100000000000364,0.01790612239560137
North East,Maize,2019,12,27.768055555555556,200.1916666666667,48.90277777777778,411.64916666666664,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.0,0.0,2402.3,240,179.56675925925924,10296.524722222224,0,0,0,0,0.057958620007843006,0,0,1.941990471402236,1.9112888179777014,1.7288625595344729,1.921317322562197,27.68268518518519,2289.1666666666665,-0.031317793095582136,0.22277777777778596,54.100000000000364,0.01790612239560137
